ds,yhat,yhat_lower,yhat_upper,site_id,target
2026-01-01,1300.618203676642,878.0587250806869,1697.024982183748,S1,units_produced
2026-01-02,1279.1667179380177,873.5875932201462,1670.0134297745096,S1,units_produced
2026-01-03,1197.112145829648,784.2128396333684,1619.603749581463,S1,units_produced
2026-01-04,1036.8225740193232,593.4449215346501,1436.7339815688747,S1,units_produced
2026-01-05,1248.055213933084,805.5013297107834,1645.4182726895556,S1,units_produced
2026-01-06,1205.9491925363254,811.7488015989497,1638.2055644595396,S1,units_produced
2026-01-07,1277.9412226011993,841.2891027047139,1701.934291593834,S1,units_produced
2026-01-08,1302.6754361157614,886.727474153262,1731.9068313986277,S1,units_produced
2026-01-09,1281.2239503776366,874.8980965592325,1693.0518843164568,S1,units_produced
2026-01-10,1199.169378268991,792.2273717885728,1652.0096537586662,S1,units_produced
2026-01-11,1038.879806458834,647.601316545948,1447.3951516289883,S1,units_produced
2026-01-12,1250.1124463726105,823.8529616634872,1666.6312806074554,S1,units_produced
2026-01-13,1208.0064249757734,799.1847241559349,1645.3255612917571,S1,units_produced
2026-01-14,1279.9984550408847,874.9295910022848,1685.1781093709026,S1,units_produced
