ds,yhat,yhat_lower,yhat_upper,site_id,target
2026-01-01,4727.234827882736,3140.60146586047,6316.265949059852,S1,power_kwh
2026-01-02,4610.753748730715,3015.248263519882,6308.878014660924,S1,power_kwh
2026-01-03,4457.3813347461455,2907.8662451762857,6118.096321855081,S1,power_kwh
2026-01-04,3797.159411142802,2189.606103060961,5266.05294989924,S1,power_kwh
2026-01-05,4546.490788990297,3028.9283554857766,6167.174980629257,S1,power_kwh
2026-01-06,4292.7425472019995,2854.19752880819,5757.683172394915,S1,power_kwh
2026-01-07,4646.34259960111,3118.969783891668,6119.365946595131,S1,power_kwh
2026-01-08,4739.535491163913,3225.326855880034,6381.081421188276,S1,power_kwh
2026-01-09,4623.054412014203,3086.7869243815203,6209.448058993027,S1,power_kwh
2026-01-10,4469.681998028486,3048.388345567696,6038.91610834142,S1,power_kwh
2026-01-11,3809.460074425615,2324.4101215119017,5357.697649765844,S1,power_kwh
2026-01-12,4558.79145227326,2855.5284268638306,5994.932221298833,S1,power_kwh
2026-01-13,4305.0432104847205,2699.8357289473233,5893.130599813556,S1,power_kwh
2026-01-14,4658.643262884888,3038.501764113702,6254.765184815711,S1,power_kwh
